date, value
2011/4/21,1507
2011/4/26,1505
2011/4/27,1508
2011/4/28,1531
2011/5/3,1546.5
2011/5/4,1536
2011/5/5,1514.5
2011/5/6,1487.75
2011/5/9,1505
2011/5/10,1517.25
2011/5/11,1524.5
2011/5/12,1488.25
2011/5/13,1511
2011/5/16,1495
2011/5/17,1495.5
2011/5/18,1491.25
2011/5/19,1488.75
2011/5/20,1502.75
2011/5/23,1508.5
2011/5/24,1520.75
2011/5/25,1527
2011/5/26,1521.5
2011/5/27,1525
2011/5/31,1537
2011/6/1,1532.25
2011/6/2,1540.75
2011/6/3,1531
2011/6/6,1542.75
2011/6/7,1548.4
2011/6/8,1535.5
2011/6/9,1534
2011/6/10,1541
2011/6/13,1524.7
2011/6/14,1519
2011/6/15,1517.75
2011/6/16,1525
2011/6/17,1526.25
2011/6/20,1537
2011/6/21,1543
2011/6/22,1546
2011/6/23,1541.5
2011/6/24,1521
2011/6/27,1501
2011/6/28,1502.5
2011/6/29,1506
2011/6/30,1508
2011/7/1,1492.75
2011/7/4,1495.25
2011/7/5,1498.75
2011/7/6,1515.8
2011/7/7,1526.25
2011/7/8,1526
2011/7/11,1543.5
2011/7/12,1544.5
2011/7/13,1571.5
2011/7/14,1592.5
2011/7/15,1578.5
2011/7/18,1598.25
2011/7/19,1602
2011/7/20,1584.25
2011/7/21,1600.5
2011/7/22,1588
2011/7/25,1618.5
2011/7/26,1610
2011/7/27,1621
2011/7/28,1617.5
2011/7/29,1613.75
2011/8/1,1613.5
2011/8/2,1624
2011/8/3,1667.5
2011/8/4,1664.25
2011/8/5,1665
2011/8/8,1709.75
2011/8/9,1770
2011/8/10,1753.75
2011/8/11,1786
2011/8/12,1755
2011/8/15,1738
2011/8/16,1779
2011/8/17,1792
2011/8/18,1794.5
2011/8/19,1862
2011/8/22,1877.75
2011/8/23,1886.5
2011/8/24,1850
2011/8/25,1716.5
2011/8/26,1787
2011/8/30,1791
2011/8/31,1826
2011/9/1,1815.5
2011/9/2,1854
2011/9/5,1896.5
2011/9/6,1891
2011/9/7,1844
2011/9/8,1827
2011/9/9,1879.5
2011/9/12,1843
2011/9/13,1806
2011/9/14,1829
2011/9/15,1806
2011/9/16,1778
2011/9/19,1817
2011/9/20,1792
2011/9/21,1810.25
2011/9/22,1765.5
2011/9/23,1730
2011/9/26,1615
2011/9/27,1671
2011/9/28,1655
2011/9/29,1620
2011/9/30,1629
2011/10/3,1660
2011/10/4,1672
2011/10/5,1600
2011/10/6,1649.5
2011/10/7,1651
2011/10/10,1664
2011/10/11,1662
2011/10/12,1687
2011/10/13,1673
2011/10/14,1676
2011/10/17,1689
2011/10/18,1658
2011/10/19,1651
2011/10/20,1629
2011/10/21,1623
2011/10/24,1651
2011/10/25,1656.25
2011/10/26,1713
2011/10/27,1708
2011/10/28,1735
2011/10/31,1718
2011/11/1,1702
2011/11/2,1731
2011/11/3,1732.5
2011/11/4,1756
2011/11/7,1764
2011/11/8,1794
2011/11/9,1780
2011/11/10,1766
2011/11/11,1764
2011/11/14,1780.5
2011/11/15,1765
2011/11/16,1773
2011/11/17,1756
2011/11/18,1730
2011/11/21,1704
2011/11/22,1697.5
2011/11/23,1686
2011/11/24,1699
2011/11/25,1676
2011/11/28,1714
2011/11/29,1717
2011/11/30,1704
2011/12/1,1750
2011/12/2,1751
2011/12/5,1744
2011/12/6,1720
2011/12/7,1731
2011/12/8,1739
2011/12/9,1712
2011/12/12,1680
2011/12/13,1665
2011/12/14,1635
2011/12/15,1590
2011/12/16,1589.5
2011/12/19,1593
2011/12/20,1605
2011/12/21,1637.5
2011/12/22,1609
2011/12/23,1607.5
2011/12/28,1584
2011/12/29,1537.5
2011/12/30,1574.5
2012/1/3,1590
2012/1/4,1603
2012/1/5,1614.5
2012/1/6,1621
2012/1/9,1618
2012/1/10,1627
2012/1/11,1641
2012/1/12,1652.5
2012/1/13,1642
2012/1/16,1643.5
2012/1/17,1662
2012/1/18,1657
2012/1/19,1664
2012/1/20,1646
2012/1/23,1675
2012/1/24,1669
2012/1/25,1659
2012/1/26,1713
2012/1/27,1722
2012/1/30,1720.5
2012/1/31,1738
2012/2/1,1744
2012/2/2,1747.5
2012/2/3,1759.5
2012/2/6,1717
2012/2/7,1720
2012/2/8,1743
2012/2/9,1733
2012/2/10,1715.5
2012/2/13,1727
2012/2/14,1721
2012/2/15,1725.5
2012/2/16,1716
2012/2/17,1732
2012/2/20,1729.5
2012/2/21,1737
2012/2/22,1754.75
2012/2/23,1776.5
2012/2/24,1778.5
2012/2/27,1765
2012/2/28,1774.75
2012/2/29,1788
2012/3/1,1721
2012/3/2,1714.5
2012/3/5,1698
2012/3/6,1685.5
2012/3/7,1682.5
2012/3/8,1701.5
2012/3/9,1699.5
2012/3/12,1705.25
2012/3/13,1694.75
2012/3/14,1662
2012/3/15,1646.75
2012/3/16,1649
2012/3/19,1654
2012/3/20,1648.5
2012/3/21,1656
2012/3/22,1636
2012/3/23,1651
2012/3/26,1658
2012/3/27,1694
2012/3/28,1677
2012/3/29,1655.75
2012/3/30,1660.75
2012/4/2,1664
2012/4/3,1674.75
2012/4/4,1631.75
2012/4/5,1622.5
2012/4/10,1643.75
2012/4/11,1654
2012/4/12,1655.5
2012/4/13,1670.5
2012/4/16,1648.25
2012/4/17,1652
2012/4/18,1646.5
2012/4/19,1642
2012/4/20,1640
2012/4/23,1632
2012/4/24,1638.75
2012/4/25,1641.25
2012/4/26,1648.25
2012/4/27,1654
2012/4/30,1662.5
2012/5/1,1661.25
2012/5/2,1652.5
2012/5/3,1642.5
2012/5/4,1629.5
2012/5/8,1627
2012/5/9,1585.5
2012/5/10,1590
2012/5/11,1580.75
2012/5/14,1563
2012/5/15,1559
2012/5/16,1537.5
2012/5/17,1547
2012/5/18,1588
2012/5/21,1590.25
2012/5/22,1575.75
2012/5/23,1555
2012/5/24,1558.5
2012/5/25,1560.5
2012/5/28,1579
2012/5/29,1573.75
2012/5/30,1548.75
2012/5/31,1567.5
2012/6/1,1552.5
2012/6/6,1633.25
2012/6/7,1620.75
2012/6/8,1576
2012/6/11,1593
2012/6/12,1589.25
2012/6/13,1612.75
2012/6/14,1619
2012/6/15,1622.25
2012/6/18,1623.5
2012/6/19,1628.5
2012/6/20,1618.75
2012/6/21,1600
2012/6/22,1570.5
2012/6/25,1569
2012/6/26,1583.25
2012/6/27,1567.5
2012/6/28,1567.75
2012/6/29,1569.5
2012/7/2,1596.25
2012/7/3,1608.5
2012/7/4,1617
2012/7/5,1616.75
2012/7/6,1591.75
2012/7/9,1581
2012/7/10,1594.5
2012/7/11,1576.5
